[/player int32:0, float32:-3675.26, float32:5952.29, float32:3715.16, bool:false, float32:64911, float32:26027, float32:4443, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3669.91, float32:5990.78, float32:3749.86, bool:false, float32:64831, float32:26775, float32:4294, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3664.91, float32:6028.41, float32:3785.11, bool:false, float32:64751, float32:27523, float32:4443, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3659.97, float32:6067.17, float32:3822.88, bool:false, float32:64671, float32:28272, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3655.02, float32:6107.61, float32:3863.99, bool:false, float32:64591, float32:29022, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3650.64, float32:6144.65, float32:3903.17, bool:false, float32:64511, float32:29928, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3646.93, float32:6180.74, float32:3942.59, bool:false, float32:64431, float32:30834, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3643.39, float32:6221.44, float32:3988.77, bool:false, float32:64351, float32:31740, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3641, float32:6254.38, float32:4027.36, bool:false, float32:64271, float32:32646, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3639.02, float32:6288.53, float32:4068.8, bool:false, float32:64191, float32:33553, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3637.55, float32:6322.05, float32:4110.97, bool:false, float32:64105, float32:34430, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3636.37, float32:6361.99, float32:4163.52, bool:false, float32:64009, float32:35271, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3635.83, float32:6395.04, float32:4208.75, bool:false, float32:63893, float32:36010, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3635.71, float32:6426.24, float32:4253.16, bool:false, float32:63782, float32:36688, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3636.04, float32:6463.32, float32:4308.54, bool:false, float32:63679, float32:37350, float32:4592, float32:0, float32:0, float32:0]
[/player int32:0, float32:-3636.68, float32:6493.61, float32:4355.72, bool:false, float32:63622, float32:37997, float32:4592, float32:0, float32:0, float32:0]
